City,Total_Listings_in_City
Abilene,21
Addison,4
Aledo,2
Allen,24
Alpine,14
Alvin,5
Amarillo,25
Anahuac,4
Angleton,1
Anna,1
Anson,1
Aransas Pass,6
Argyle,4
Arlington,83
Art,1
Atascocita,2
Athens,1
Aubrey,9
Austin,245
Azle,4
Bacliff,7
Baird,2
Balch Springs,3
Bandera,23
Bastrop,26
Bastrop County,1
Bay City,2
Bayside,1
Baytown,23
Beaumont,8
Bedford,6
Bee Cave,2
Bellaire,6
Bellville,1
Belton,10
Ben Wheeler,2
Benbrook,2
Berryville,1
Blanco,3
Bleiblerville,1
Blue Mound,1
Boerne,5
Bolivar,1
Bolivar Peninsula,13
Boliver peninsula,1
Brazoria,4
Brenham,4
Briarcliff,1
Bridge City,1
Bridgeport,1
Brookshire,3
Brownsville,5
Brownwood,1
Bryan,29
Buchanan Dam,6
Buda,8
Buffalo Gap,1
Bulverde,5
Burleson,2
Burnet,7
CRYSTAL BEACH,2
Canton,9
Canyon,7
Canyon Lake,11
Carrollton,7
Cat Spring,1
Cedar Creek,6
Cedar Park,1
Celina,2
Chandler,1
Channelview,1
Cibolo,2
City by the Sea,1
Clear Lake Shores,4
Cleburne,1
Clifton,1
College Station,53
Colleyville,2
Columbus,1
Comfort,2
Concan,2
Conroe,9
Converse,2
Copper Canyon,2
Corinth,4
Corpus Christi,152
Crawford,1
Crystal Beach,23
Dale,1
Dallas,288
Damon,1
Dayton,2
DeSoto,1
Deer Park,2
Del Valle,4
Denton,70
Dickinson,3
Dripping Springs,2
Duncanville,1
Early,1
East Bernard,2
Eddy,1
El Lago,2
Elgin,9
Emory,1
Euless,28
Eustace,3
Fairfield,1
Fayetteville,1
Flint,3
Flower Mound,7
Fort Worth,181
Frankston,3
Fredericksburg,6
Freeport,6
Friendswood,1
Frisco,15
Fulton,5
Galveston,87
Garden Valley,1
Garfield,3
Georgetown,1
Gilchrist,1
Glenn Heights,1
Gordon,1
Granbury,2
Grand Prairie,5
Grand Saline,3
Grapevine,17
Gun Barrel City,1
Haltom City,2
Happy,1
Harker Heights,9
Haslet,3
Helotes,2
Hempstead,1
Hickory Creek,1
Highland Village,1
Highlands,5
Horseshoe Bay,31
Houston,414
Humble,17
Hurst,7
Hutto,2
Ingram,1
Irving,32
Jamaica Beach,5
Junction,1
Justin,3
Katy,34
Kemah,29
Kerrville,2
Killeen,17
Kingsland,16
Kingsville,2
Krum,2
Kyle,11
La Marque,2
La Porte,13
LaRue,2
Lago Vista,22
Laguna Vista,1
Lake Dallas,1
Lake Jackson,1
Lakeway,10
League City,43
Leander,5
Leonard,1
Lewisville,2
Liberty Hill,1
Little Elm,10
Llano,10
Lucas,1
Lumberton,3
Mabank,5
Malakoff,3
Manchaca,3
Manor,9
Marble Falls,17
Mason,6
Matagorda,2
McKinney,86
Melissa,1
Mineola,3
Montgomery,1
Nacogdoches,1
Navasota,2
Nederland,1
New Braunfels,13
New Ulm,2
Nolanville,1
North Richland Hills,1
Paige,3
Pasadena,6
Pearland,1
Pflugerville,6
Pilot Point,3
Pipe Creek,2
Plainview,1
Plano,40
Point Venture,3
Port Aransas,27
Port Isabel,3
Port Neches,1
Princeton,1
Prosper,2
Quitman,4
Rancho Viejo,1
Red Oak,1
Richardson,1
Richmond,39
River Oaks,2
Roanoke,5
Rockport,60
Rogers,2
Rosanky,1
Rosenberg,4
Round Rock,5
Saginaw,1
Salado,2
San Antonio,199
San Leon,18
Sanger,2
Sargent,3
Schertz,1
Seabrook,26
Sealy,2
Shady Shores,1
Shoreacres,1
Silsbee,1
Smithville,4
South Padre Island,29
Southlake,1
Spicewood,18
Spring,6
Stephenville,1
Sugar Land,30
Sugarland,2
Sunset Valley,1
Surfside Beach,10
Sweeny,3
Temple,20
Terlingua,1
Texas City,2
The Hills,2
The Woodlands,2
Tiki Island,1
Tool,4
Tow,1
Travis County,3
Trophy Club,1
Universal City,1
University Park,1
Volente,1
Waco,2
Waelder,1
Watauga,1
Weatherford,6
West Lake Hills,1
Westworth Village,1
Wharton,1
White Settlement,2
Willow Park,1
Wimberley,6
Winnie,1
Yantis,1
fort worth,1
houston,1
keller,1
