date_of_listing,Total_Listings_in_Month
1/1/2010,1
1/1/2012,9
1/1/2013,12
1/1/2014,28
1/1/2015,42
1/1/2016,84
1/1/2017,169
10/1/2009,1
10/1/2010,1
10/1/2011,6
10/1/2012,11
10/1/2013,19
10/1/2014,51
10/1/2015,71
10/1/2016,92
11/1/2010,1
11/1/2011,3
11/1/2012,4
11/1/2013,17
11/1/2014,22
11/1/2015,83
11/1/2016,58
12/1/2010,1
12/1/2011,6
12/1/2012,9
12/1/2013,22
12/1/2014,38
12/1/2015,87
12/1/2016,67
2/1/2011,5
2/1/2012,12
2/1/2013,24
2/1/2014,31
2/1/2015,35
2/1/2016,111
2/1/2017,68
3/1/2009,1
3/1/2011,7
3/1/2012,12
3/1/2013,15
3/1/2014,43
3/1/2015,57
3/1/2016,84
3/1/2017,68
4/1/2009,1
4/1/2010,2
4/1/2011,6
4/1/2012,9
4/1/2013,17
4/1/2014,42
4/1/2015,53
4/1/2016,87
4/1/2017,102
5/1/2009,1
5/1/2010,1
5/1/2011,9
5/1/2012,14
5/1/2013,24
5/1/2014,47
5/1/2015,62
5/1/2016,90
5/1/2017,79
6/1/2010,4
6/1/2011,5
6/1/2012,11
6/1/2013,15
6/1/2014,34
6/1/2015,71
6/1/2016,122
6/1/2017,73
7/1/2009,1
7/1/2010,3
7/1/2011,8
7/1/2012,10
7/1/2013,20
7/1/2014,47
7/1/2015,88
7/1/2016,89
8/1/2010,4
8/1/2011,9
8/1/2012,20
8/1/2013,22
8/1/2014,44
8/1/2015,70
8/1/2016,98
9/1/2010,3
9/1/2011,15
9/1/2012,11
9/1/2013,24
9/1/2014,30
9/1/2015,85
9/1/2016,89
