date_of_listing,Total_Listings_in_Month_Houston
1/1/2014,4
1/1/2015,3
1/1/2016,12
1/1/2017,38
10/1/2014,10
10/1/2015,3
10/1/2016,21
11/1/2014,1
11/1/2015,6
11/1/2016,8
12/1/2012,1
12/1/2014,6
12/1/2015,10
12/1/2016,11
2/1/2013,2
2/1/2014,1
2/1/2015,3
2/1/2016,14
2/1/2017,8
3/1/2012,3
3/1/2013,2
3/1/2014,1
3/1/2015,9
3/1/2016,15
3/1/2017,6
4/1/2011,1
4/1/2012,2
4/1/2013,5
4/1/2014,9
4/1/2015,5
4/1/2016,11
4/1/2017,6
5/1/2013,5
5/1/2014,9
5/1/2015,4
5/1/2016,14
5/1/2017,6
6/1/2012,1
6/1/2013,2
6/1/2014,6
6/1/2015,10
6/1/2016,13
6/1/2017,1
7/1/2011,1
7/1/2013,2
7/1/2014,11
7/1/2015,7
7/1/2016,18
8/1/2011,2
8/1/2012,5
8/1/2013,10
8/1/2014,8
8/1/2015,12
8/1/2016,11
9/1/2013,5
9/1/2014,3
9/1/2015,4
9/1/2016,7
