date_of_listing,Total_Listings_in_Month_San_Antonio
1/1/2012,1
1/1/2014,3
1/1/2015,4
1/1/2016,14
1/1/2017,2
10/1/2009,1
10/1/2013,2
10/1/2014,3
10/1/2015,10
10/1/2016,4
11/1/2010,1
11/1/2011,1
11/1/2013,1
11/1/2014,1
11/1/2015,2
11/1/2016,4
12/1/2011,2
12/1/2012,2
12/1/2013,1
12/1/2014,1
12/1/2015,6
12/1/2016,4
2/1/2012,1
2/1/2013,5
2/1/2014,2
2/1/2015,2
2/1/2016,2
2/1/2017,5
3/1/2013,1
3/1/2014,1
3/1/2015,4
3/1/2016,7
3/1/2017,4
4/1/2011,3
4/1/2013,1
4/1/2014,3
4/1/2015,8
4/1/2016,6
4/1/2017,3
5/1/2010,1
5/1/2012,1
5/1/2013,1
5/1/2014,1
5/1/2015,3
5/1/2016,7
5/1/2017,6
6/1/2011,1
6/1/2012,1
6/1/2013,1
6/1/2015,1
6/1/2016,7
6/1/2017,2
7/1/2012,1
7/1/2013,1
7/1/2014,4
7/1/2015,5
7/1/2016,5
8/1/2010,1
8/1/2013,1
8/1/2014,3
8/1/2015,5
8/1/2016,3
9/1/2012,1
9/1/2013,2
9/1/2016,6
